County, Total Cases , Total Deaths , Median Age of Cases , Median Age of Deaths 
Carlow,214 ,15 ,52 ,81 
Cavan,883 ,41 ,45 ,85 
Clare,445 ,40 ,51 ,81 
Cork,1617 ,49 ,46 ,83 
Donegal,512 ,41 ,52 ,85 
Dublin,13041 ,770 ,47 ,84 
Galway,514 ,11 ,38 ,83 
Kerry,323 ,6 ,47 ,81 
Kildare,2173 ,142 ,45 ,82 
Kilkenny,399 ,13 ,47 ,82 
Laois,376 ,18 ,42 ,77 
Leitrim,86 ,0 ,50 ,0 
Limerick,703 ,26 ,45 ,80 
Longford,288 ,8 ,39 ,85 
Louth,817 ,50 ,49 ,83 
Mayo,574 ,42 ,54 ,82 
Meath,877 ,56 ,47 ,81 
Monaghan,553 ,52 ,53 ,84 
Offaly,622 ,14 ,40 ,79 
Roscommon,356 ,12 ,44 ,87 
Sligo,159 ,5 ,47 ,87 
Tipperary,646 ,19 ,42 ,89 
Waterford,177 ,0 ,46 ,0 
Westmeath,684 ,24 ,47 ,84 
Wexford,269 ,22 ,46 ,76 
Wicklow,728 ,43 ,48 ,83 
